"","species_name","plant_area","number","percent"
"254","FLEXILUS","V",16,94.1176470588235
"255","FLORIBUNDA","B",57,3.38479809976247
"256","FLORIBUNDA","C",4,0.237529691211401
"257","FLORIBUNDA","G",4,0.237529691211401
"258","FLORIBUNDA","N",205,12.1733966745843
"259","FLORIBUNDA","V",1414,83.9667458432304
"260","FLORIDA","B",11,7.58620689655172
"261","FLORIDA","C",1,0.689655172413793
"262","FLORIDA","N",58,40
"263","FLORIDA","V",75,51.7241379310345
"264","FORTUNEI","V",10,100
"265","FRAINETTO","C",5,11.1111111111111
"266","FRAINETTO","G",6,13.3333333333333
"267","FRAINETTO","N",4,8.88888888888889
"268","FRAINETTO","V",30,66.6666666666667
"269","FRAXINIFOLIA","B",1,50
"270","FRAXINIFOLIA","V",1,50
"271","FREEMANI   X","B",166,4.052734375
"272","FREEMANI   X","C",604,14.74609375
"273","FREEMANI   X","G",103,2.5146484375
"274","FREEMANI   X","N",307,7.4951171875
"275","FREEMANI   X","V",2916,71.19140625
"276","GARRYANA","V",2,100
"277","GERMANICA","N",6,31.578947368421
"278","GERMANICA","V",13,68.421052631579
"279","GIGANTEUM","B",7,5.64516129032258
"280","GIGANTEUM","C",1,0.806451612903226
"281","GIGANTEUM","N",10,8.06451612903226
"282","GIGANTEUM","V",106,85.4838709677419
"283","GINNALA","N",41,14.8550724637681
"284","GINNALA","V",235,85.1449275362319
"285","GLABRA","B",32,11.5523465703971
"286","GLABRA","C",1,0.36101083032491
"287","GLABRA","G",3,1.08303249097473
"288","GLABRA","N",5,1.80505415162455
"289","GLABRA","V",236,85.1985559566787
"290","GLABRUM","V",16,100
"291","GLAUCA","B",6,25
"292","GLAUCA","N",6,25
"293","GLAUCA","V",12,50
"294","GLUTINOSA","C",1,50
"295","GLUTINOSA","N",1,50
"296","GLYPTOSTROBOIDES","B",20,5.06329113924051
"297","GLYPTOSTROBOIDES","C",1,0.253164556962025
"298","GLYPTOSTROBOIDES","N",45,11.3924050632911
"299","GLYPTOSTROBOIDES","V",329,83.2911392405063
"300","GRANDIFLORA","B",21,23.3333333333333
"301","GRANDIFLORA","N",22,24.4444444444444
"302","GRANDIFLORA","V",47,52.2222222222222
"303","GRANDIFLORA X","B",8,7.07964601769912
"304","GRANDIFLORA X","N",12,10.6194690265487
"305","GRANDIFLORA X","V",93,82.3008849557522
"306","GRANDIFOLIA","B",9,28.125
"307","GRANDIFOLIA","V",23,71.875
"308","GRANDIS","B",38,37.6237623762376
"309","GRANDIS","N",14,13.8613861386139
"310","GRANDIS","V",49,48.5148514851485
"311","GRIFFITHII","N",1,33.3333333333333
"312","GRIFFITHII","V",2,66.6666666666667
"313","GRISEUM","B",37,7.88912579957356
"314","GRISEUM","C",8,1.70575692963753
"315","GRISEUM","G",1,0.213219616204691
"316","GRISEUM","N",40,8.52878464818763
"317","GRISEUM","V",383,81.6631130063966
"318","HENRYI","V",4,100
"319","HETEROPHYLLA","B",46,44.6601941747573
"320","HETEROPHYLLA","N",26,25.2427184466019
"321","HETEROPHYLLA","V",31,30.0970873786408
"322","HILLIERI","N",5,13.1578947368421
"323","HILLIERI","V",33,86.8421052631579
"324","HIPPOCASTANUM","B",98,4.37304774654172
"325","HIPPOCASTANUM","C",12,0.535475234270415
"326","HIPPOCASTANUM","N",122,5.44399821508255
"327","HIPPOCASTANUM","V",2009,89.6474788041053
"328","HISPIDA","B",1,33.3333333333333
"329","HISPIDA","V",2,66.6666666666667
"330","HOLLANDICA   X","V",20,100
"331","HUPEHENSIS","V",4,100
"332","HYBRIDA X","V",17,100
"333","INSIGNIS","B",1,6.66666666666667
"334","INSIGNIS","N",3,20
"335","INSIGNIS","V",11,73.3333333333333
"336","INVOLUCRATA","B",4,2.32558139534884
"337","INVOLUCRATA","C",3,1.74418604651163
"338","INVOLUCRATA","G",16,9.30232558139535
"339","INVOLUCRATA","N",24,13.953488372093
"340","INVOLUCRATA","V",125,72.6744186046512
"341","JACQUEMONTII","B",30,37.9746835443038
"342","JACQUEMONTII","C",1,1.26582278481013
"343","JACQUEMONTII","N",9,11.3924050632911
"344","JACQUEMONTII","V",39,49.3670886075949
"345","JAPONICA","B",138,7.98149219201851
"346","JAPONICA","C",65,3.7593984962406
"347","JAPONICA","G",5,0.289184499710816
